Company name,NPRI_Report_ReportYear,Substance name,Current year quantity,Last year quantity,Two years ago quantity,Three years ago quantity,Number of employees,Group,Growth,Province,Price
ARC RESOURCES LTD.,2022,Nitrogen oxides (expressed as nitrogen dioxide),5958.661209,5413.181249,6492.208,0,16,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,PM10 - Particulate Matter <= 10 Micrometers,124.959235,128.284462,118.0089,0,16,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,116.617725,127.714662,117.253,0,16,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,Speciated VOCs (62 substances),981.388319,0,0,0,1,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,Sulphur dioxide,89.68069,3.86177,62.509,0,11,Releases to Air,1,British Columbia,1
ARC RESOURCES LTD.,2022,Toluene,10.262205,170.2424,24.5152,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Total particulate matter,144.197637,110.517662,106.74,0,15,Releases to Air,1,British Columbia,1
ARC RESOURCES LTD.,2022,Total reduced sulphur (expressed as hydrogen sulphide),0.866219,1.0274,0.5677,0,15,Releases to Air,1,British Columbia,1
ARC RESOURCES LTD.,2022,Volatile Organic Compounds (VOCs),995.818425,1013.975176,1648.4732,0,1,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,Xylene (all isomers),28.974457,333.4485,52.9472,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,n-Hexane,6.953717,163.2664,56.9605,0,11,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Ammonia (total),0,0,0,12.796,11,Releases to Air,1,British Columbia,1
ARC Resources,2022,Benzene,0,0,0,11.3215,14,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Carbon monoxide,0,0,0,1914.42,1,Releases to Air,1,Alberta,1
ARC Resources,2022,Cyclohexane,0,0,0,201.8267,11,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Ethylbenzene,0,0,0,0.024,14,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Ethylene glycol,0,0,0,285.0691,11,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Hydrogen sulphide,0,0,0,3311.1759,11,On-site Disposal,1,British Columbia,1
ARC Resources,2022,Methanol,0,0,0,393.0516,14,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,2522.806,1,Releases to Air,1,Alberta,1
ARC Resources,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,30.736,1,Releases to Air,1,Manitoba,1
ARC Resources,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,30.736,1,Releases to Air,1,Manitoba,1
ARC Resources,2022,Sulphur dioxide,0,0,0,185.323,1,Releases to Air,1,Saskatchewan,1
ARC Resources,2022,Toluene,0,0,0,69.4924,14,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,Total particulate matter,0,0,0,18.897,1,Releases to Air,1,Alberta,1
ARC Resources,2022,Total reduced sulphur (expressed as hydrogen sulphide),0,0,0,0.2959,31,Releases to Air,1,Alberta,1
ARC Resources,2022,Volatile Organic Compounds (VOCs),0,0,0,902.8238,11,Releases to Air,1,British Columbia,1
ARC Resources,2022,Xylene (all isomers),0,0,0,157.2959,14,Off-site Disposal,1,British Columbia,1
ARC Resources,2022,n-Hexane,0,0,0,192.976,11,Off-site Disposal,1,British Columbia,1
ATCO Energy Solutions Ltd.,2022,Carbon monoxide,241.3746,269.5567,313.9529,185.2946,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Cyclohexane,0,0.0205,0,0,10,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Ethylbenzene,0,0.005,0,0,10,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Ethylene glycol,0,2.7547,0,0,14,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Methanol,0,53.2491,0,0,10,Off-site Disposal,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),850.4983,496.5976,523.5273,305.3299,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,1.5139,1.3952,1.5879,1.2283,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,1.9879,1.8427,1.5879,1.2283,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Sulphur dioxide,0,0,0,0,5,Releases to Air,1,Saskatchewan,1
ATCO Energy Solutions Ltd.,2022,Toluene,0,0.5821,0,0,10,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Total particulate matter,0,0.7961,1.5879,1.2283,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,Volatile Organic Compounds (VOCs),20.9171,26.2275,36.3016,36.5593,14,Releases to Air,1,Alberta,1
ATCO Energy Solutions Ltd.,2022,n-Hexane,0,0.3566,0,0,12,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,Carbon monoxide,67.3431,52.6541,45.0004,69.1683,0,Releases to Air,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),47.9726,0,27.2602,65.7613,0,Releases to Air,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,0.5388,0,0,0.8036,0,Releases to Air,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.5388,0.3836,0,0.8036,0,Releases to Air,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,Total particulate matter,0,0,0,0.8036,0,Releases to Air,1,Alberta,1
ATCO Gas and Pipelines Ltd.,2022,Volatile Organic Compounds (VOCs),0,0,0,14.078,0,Releases to Air,1,Alberta,1
Abbey Resources,2022,Carbon monoxide,63.656,145.4597,199.424,196.424,24,Releases to Air,1,Saskatchewan,1
Abbey Resources,2022,Nitrogen oxides (expressed as nitrogen dioxide),35.388,80.8114,154.4966,154.0966,24,Releases to Air,1,Saskatchewan,1
Accel Canada Holdings Limited,2022,Carbon monoxide,0,0,277.761,253.352,12,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Cyclohexane,0,0,0,0,10,Sum of release to all media (<1tonne),1,Alberta,1
Accel Canada Holdings Limited,2022,Ethylbenzene,0,0,0,0,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Ethylene glycol,0,0,0,0,10,On-site Disposal,1,Alberta,1
Accel Canada Holdings Limited,2022,Hydrogen sulphide,0,0,18.846,9.088,12,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Methanol,0,0,0,0,10,On-site Disposal,1,Alberta,1
Accel Canada Holdings Limited,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,268.281,258.058,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,4.476,4.385,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,4.476,4.385,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Sulphur dioxide,0,0,98.95,229.524,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Toluene,0,0,0,0,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Total particulate matter,0,0,4.476,3.725,9,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Total reduced sulphur (expressed as hydrogen sulphide),0,0,16.266,5.47,12,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Volatile Organic Compounds (VOCs),0,0,21.021,51.805,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,Xylene (all isomers),0,0,0,0,10,Releases to Air,1,Alberta,1
Accel Canada Holdings Limited,2022,n-Hexane,0,0,0,0,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,"1,2,4-Trimethylbenzene",0,0,0,0.001,10,Off-site Disposal,1,Alberta,1
Accel Energy Canada Limited,2022,Benzene,0,0,0,0.537,10,Sum of release to all media (<1tonne),1,Alberta,1
Accel Energy Canada Limited,2022,Carbon monoxide,0,0,0,67.326,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,Cyclohexane,0,0,0,0.045,10,Off-site Disposal,1,Alberta,1
Accel Energy Canada Limited,2022,Ethylbenzene,0,0,0,0,10,Off-site Disposal,1,Alberta,1
Accel Energy Canada Limited,2022,Hydrogen sulphide,0,0,0,207.329336,10,On-site Disposal,1,Alberta,1
Accel Energy Canada Limited,2022,Methanol,0,0,0,0.104,10,On-site Disposal,1,Alberta,1
Accel Energy Canada Limited,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,209.243,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,5.076,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,5.076,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,Sulphur dioxide,0,0,0,139.461,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,Toluene,0,0,0,0.783,10,Sum of release to all media (<1tonne),1,Alberta,1
Accel Energy Canada Limited,2022,Total particulate matter,0,0,0,1.461,1,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,Total reduced sulphur (expressed as hydrogen sulphide),0,0,0,1.667,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,Volatile Organic Compounds (VOCs),0,0,0,86.979,10,Releases to Air,1,Alberta,1
Accel Energy Canada Limited,2022,n-Hexane,0,0,0,2.8591,10,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Carbon monoxide,70.0171,7.1367,13.71488,23.8156,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Nitrogen oxides (expressed as nitrogen dioxide),32.4576,2.909,3.3245,4.8864,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,PM10 - Particulate Matter <= 10 Micrometers,16.2108,1.996,4.74396,8.045,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,16.2108,1.996,4.74396,8.045,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Speciated VOCs (62 substances),0.1063,0,0,0,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Sulphur dioxide,0,0,0,0,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Total particulate matter,16.2108,1.996,4.06821,8.045,3,Releases to Air,1,Alberta,1
Acquisition Oil Corp,2022,Volatile Organic Compounds (VOCs),25.0521,13.6822,16.35582,20.8313,3,Releases to Air,1,Alberta,1
Adanac Oil & Gas Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,1,Releases to Air,1,Alberta,1
Aduro Resources Ltd.,2022,Carbon monoxide,13.6859,12.318114,13.389,13.449636,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),182.7421,151.46095,181.1927,168.941116,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,0.5017,0.612432,0.414,5.850049,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.5017,0.612432,0.414,0.850049,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,Speciated VOCs (62 substances),1.5587,0,0,0,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,Sulphur dioxide,28.6661,61.585,71.048,82.016,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,Total particulate matter,0.5017,0.612432,0.414,0.850049,2,Releases to Air,1,British Columbia,1
Aduro Resources Ltd.,2022,Volatile Organic Compounds (VOCs),3.6553,4.332351,2.3957,13.982205,2,Releases to Air,1,British Columbia,1
Advantage Energy Ltd.,2022,Carbon monoxide,112.33718,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),170.32299,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,0.07203,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.00473,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,Speciated VOCs (62 substances),24.7795,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,Total particulate matter,0.05518,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Energy Ltd.,2022,Volatile Organic Compounds (VOCs),31.86112,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,"1,2,4-Trimethylbenzene",0,0,0,0,22,Sum of release to all media (<1tonne),1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Acetaldehyde,10.458,0,0,0,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Carbon monoxide,747.965,830.60507,744.641,688.685,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Cyclohexane,0.111625,0.036513,0.047341,8.962154,25,Off-site Disposal,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Formaldehyde,66.065,54.043,0,0,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Hydrogen sulphide,10052.95424,8485.73741,12376.97024,9669.684421,25,On-site Disposal,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Methanol,3160.8668,3531.8443,1918.3755,2334.4964,25,Off-site Disposal,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),279.074,779.10329,473.532,368.898,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,6.786,7.43317,4.953,4.526,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,6.786,7.43317,4.953,4.526,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Speciated VOCs (62 substances),125.516,0,0,0,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Sulphur dioxide,582.53,486.28857,316.3,436.78,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Toluene,5.261215,6.12919,3.092289,16.859242,25,Off-site Disposal,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Total particulate matter,0,0.27117,0.133,0.094,1,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Total reduced sulphur (expressed as hydrogen sulphide),7.799,6.776,4.996,3.808,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Volatile Organic Compounds (VOCs),179.915,261.80014,172.16,161.834,25,Releases to Air,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,Xylene (all isomers),3.347424,3.764625,1.632967,17.557332,25,Off-site Disposal,1,Alberta,1
Advantage Oil & Gas Ltd.,2022,n-Hexane,2.470012,3.466958,1.766255,10.329644,25,Off-site Disposal,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,Carbon monoxide,0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,Sulphur dioxide,0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,Total particulate matter,0,0,0,0,1,Releases to Air,1,Alberta,1
Advantage Oil and Gas Ltd. ,2022,Volatile Organic Compounds (VOCs),0,0,0,0,1,Releases to Air,1,Alberta,1
Agiska Coopérative,2022,PM10 - Particulate Matter <= 10 Micrometers,3.319,0,0,0,4,Releases to Air,1,Quebec,1
Agiska Coopérative,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.564,0,0,0,4,Releases to Air,1,Quebec,1
Agiska Coopérative,2022,Total particulate matter,10.815,0,0,0,4,Releases to Air,1,Quebec,1
Agris Co-Operative Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,7.987,7.839,7.54,5.798,16,Releases to Air,1,Ontario,1
Agris Co-Operative Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.92,0.962,1.289,0.99,16,Releases to Air,1,Ontario,1
Air Liquide Canada Inc.,2022,Carbon monoxide,0,0,0,37.81,5,Releases to Air,1,British Columbia,1
Air Liquide Canada Inc.,2022,Nitrogen oxides (expressed as nitrogen dioxide),56.21,58.265,51.16,65.949,17,Releases to Air,1,Quebec,1
Air Liquide Canada Inc.,2022,PM10 - Particulate Matter <= 10 Micrometers,2.696,2.76,2.65,3.409,5,Releases to Air,1,British Columbia,1
Air Liquide Canada Inc.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,1.772,1.837,2.014,2.556,5,Releases to Air,1,British Columbia,1
Air Liquide Canada Inc.,2022,Volatile Organic Compounds (VOCs),0,0,0,5.98,5,Releases to Air,1,British Columbia,1
Air Products Canada Ltd.,2022,Ammonia (total),0.269017,0.22902,0.231016,0.228,15,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
Air Products Canada Ltd.,2022,Carbon monoxide,524.81,562.909,530.305,542.479,25,Releases to Air,1,Alberta,1
Air Products Canada Ltd.,2022,Cobalt (and its compounds),0,0.158624,0,0,27,Off-site Disposal,1,Alberta,1
Air Products Canada Ltd.,2022,Copper (and its compounds),1.008,24.142,0,0,27,Off-site Disposal,1,Alberta,1
Air Products Canada Ltd.,2022,Ethylene glycol,0.12,0.48,0.58,0.24,47,Off-site Transfers for Treatment Prior to Final Disposal,1,Ontario,1
Air Products Canada Ltd.,2022,Hexavalent chromium (and its compounds),0,0.044054,0,0,27,Off-site Disposal,1,Alberta,1
Air Products Canada Ltd.,2022,Methanol,10.211,9.674,9.979,10.128,26,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
